"clip_id","number","track","phonogram","sound_index","label","filename","duration_seconds","bytes","sha256","source_track","source_track_sha256","source_start_seconds","source_end_seconds","transformation"
"spalding-001-01","1","1","a","1","ă /æ/ as in at","spalding-001-a-01-short-a-as-in-at.mp3","0.375011","11007","af168acdea4cc17dc4a98f1f6ef1b70148d498b61552fbb22f2b441646b94bb8","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","84.375","84.75","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
"spalding-001-02","1","1","a","2","ā /eɪ/ as in ate","spalding-001-a-02-long-a-as-in-ate.mp3","0.41","11639","1e6ca7bbd9519cf26bc8232d6d72bd64f471f345b3bb6dc6a2fcbdbe05d47789","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","85.195","85.605","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
"spalding-001-03","1","1","a","3","ah /ɑ/ as in father","spalding-001-a-03-ah-as-in-father.mp3","0.335011","9762","c69f5f5f58de23fcde98b5e062a1747e1c5708d352625824d7fa8031319a53d4","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","86.065","86.4","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
"spalding-002-01","2","1","c","1","/k/ as in cat","spalding-002-c-01-k-as-in-cat.mp3","0.185011","6617","a2292b035bad7676767dde5ff6f767856a0c407ffaf021f89a92d2b461b0d494","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","91.859","92.044","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
"spalding-002-02","2","1","c","2","/s/ as in cent","spalding-002-c-02-s-as-in-cent.mp3","0.355011","10381","175a2050ea58b43bf32e4bb390470d6b83ae19fcf2e9a93f76a3e6200e52cfac","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","92.829","93.184","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
"spalding-003-01","3","1","d","1","/d/","spalding-003-d-01-d.mp3","0.2","6597","bd71a678fdf24a4ee5e206db8195d10a8dfab33de2523f48f0a27f94eff3e456","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","97.657","97.857","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
"spalding-004-01","4","1","f","1","/f/","spalding-004-f-01-f.mp3","0.29","9107","6e00d2ce2201c89e61489a5c74c9159ff277259ac58c9686830cbd22b9f5be34","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","103.925","104.215","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
"spalding-005-01","5","1","g","1","/g/ as in go","spalding-005-g-01-g-as-in-go.mp3","0.205011","6617","51ff21bbe86bef76effdd6dc8dbe945a02eb3863bf3b6338cd6b4c376985c147","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","109.477","109.682","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
"spalding-005-02","5","1","g","2","/j/ as in gentle","spalding-005-g-02-j-as-in-gentle.mp3","0.23","7252","ad9107fb6b92f40fc34a18a2cbe270831ca11b676ed2d23547275496090748c0","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","110.342","110.572","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
"spalding-006-01","6","1","o","1","ŏ /ɑ/ as in odd","spalding-006-o-01-short-o-as-in-odd.mp3","0.355011","10385","e2a348ae63d8c683eabab1478f0ba16f5b3d29d154d4b2e229a67489bba8a82b","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","116.006","116.361","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
"spalding-006-02","6","1","o","2","ō /oʊ/ as in open","spalding-006-o-02-long-o-as-in-open.mp3","0.415011","11643","e10b9f157bfce16d05bfedf05f98fd392457d39769e9e765ee8b7e304b7cbe83","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","116.841","117.256","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
"spalding-006-03","6","1","o","3","oo /u/ as in do","spalding-006-o-03-oo-as-in-do.mp3","0.340658","10385","c4d147d56cae80c452d89f9fe5e3010595ca587d4ac7c1ba52c6c1bc786f57b7","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","117.731","118.071","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
"spalding-007-01","7","1","s","1","/s/ as in sit","spalding-007-s-01-s-as-in-sit.mp3","0.315011","9754","b80b554f9650f331a19622d2ed5fdbe824e6480156d2fca96dc76e064e0a32d2","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","124.228","124.543","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
"spalding-007-02","7","1","s","2","/z/ as in has","spalding-007-s-02-z-as-in-has.mp3","0.38","11008","f0d8f6c2f9820c05c9c5263b675e2247dc2c4821070a71e8e3624b726dcbc054","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","125.033","125.413","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
"spalding-008-01","8","1","qu","1","/kw/","spalding-008-qu-01-kw.mp3","0.19","6603","e83609b9c243bb75fb9472d39910cb61624f683f4fe622db2c54364a93888056","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","130.383","130.573","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
"spalding-009-01","9","1","b","1","/b/","spalding-009-b-01-b.mp3","0.27","8480","c17a78292b62ca8379e8d4aefcfa4b2dfd8b2ca285319b9ec915690b9262dfd4","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","137.186","137.456","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
"spalding-010-01","10","1","e","1","ĕ /ɛ/ as in end","spalding-010-e-01-short-e-as-in-end.mp3","0.31","9134","4feded5d23509c755626bbf62643461aecd91122df544820d66c288e6a016ba9","Track01.mp3","e6444b67ac73df868cc4701a6ae14110500d7511f283f639cdf9d9ea9e4e4e19","143.037","143.347","Exact source interval re-encoded to mono 44.1 kHz 192 kbps MP3; no replacement or synthesized audio"
